지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,1998-01-01,1.9,.2,2400,4.5,1505,6.43,,,,,3.2,4.2,320,1430,3.3,320,1431,1.3,1093,-.6,71,1620,83.5,5.9,1007.6,1021,2240,1016.5,721,1018.4,9.6,.9,1500,.43,1.76,.3,545,.3,545,.5,6.3,3.9,.4,-7.9,.2,.9,1.6,2.7,4.2,7,9.9,14.5,16.2,,.3,.3,
108,1998-01-02,3.2,-.8,615,6.5,1927,,,,,,,6.6,230,1831,4.5,230,1845,2,1714,-1.8,54,1448,70.8,5.4,1010.9,1023.3,1030,1020.7,1530,1021.7,9.6,4.7,1200,1.13,5.61,,,,,,6.8,6.5,2,-6.2,1.3,1.4,1.9,2.8,4.2,7.1,9.8,14.5,16.2,,1.4,,7.42
108,1998-01-03,5.3,2.7,838,8.2,1505,.33,,,,,0,16.4,320,2347,7.8,320,2400,2,1720,-.8,35,1618,66,5.8,1009.7,1022.9,632,1017.7,1808,1020.4,9.6,3.5,1200,1.18,5.36,,,,,,7.4,6.9,2.9,-3.2,3.1,3,3,3.4,4.6,6.9,9.6,14.4,16.1,,1.8,0,
108,1998-01-04,-5.5,-8.3,820,4.5,0,1.33,,,,,.8,16.4,340,59,9.7,320,40,4.1,3585,-16.1,28,1227,45.6,1.9,1013.8,1027.6,1024,1018.4,0,1025.1,9.7,8,1200,1.65,8.78,1.4,2400,1.4,2400,1.4,.9,.5,-1.5,-12.5,.4,1.6,2.6,3.5,4.6,6.9,9.5,14.4,16.1,,1.2,1.1,
108,1998-01-05,-1.3,-6.2,208,4,1502,2.08,,,,,.3,16.1,250,1520,8,250,1540,2.8,2406,-6.9,31,1730,67.4,3.7,1009.7,1024.4,0,1017.4,1512,1020.7,9.7,4.8,1300,1.32,4.89,.6,620,1.9,620,.6,5.9,4,-.4,-8.2,-.2,.8,1.8,2.7,4.4,6.8,9.5,14.3,16,,1.2,0,
108,1998-01-06,-1.4,-4.5,725,1.5,1507,,,,,,,10.7,320,1426,7.2,320,1433,2.3,1946,-12.7,27,1008,42.5,2.3,1016.2,1030.8,2150,1021.2,0,1027.3,9.7,6.6,1200,1.54,8.17,,,,,,.6,0,-.9,-12.3,-.6,.3,1.5,2.4,3.9,6.5,9.4,14,16,,1.6,,
108,1998-01-07,.6,-3.5,730,4.1,1544,.92,,,,,0,4,70,1002,2.5,70,1350,1.3,1166,-6.4,47,1537,60.8,3.8,1015.5,1030,15,1022.4,2400,1026.6,9.7,0,1200,.75,4.22,,,,,,7.4,4.9,-.3,-9.5,-.6,.3,1.3,2.2,3.8,6.5,9.4,14,16,,1.3,2.1,
108,1998-01-08,2,-.4,740,4.3,1855,9.75,,,,,2.3,7.7,70,1047,3.7,70,1100,1.6,1348,-2.7,52,1847,72.4,5,1006.9,1022.4,0,1014.8,1322,1017.7,9.7,0,1500,.29,1.48,3.8,1120,3.8,1120,3.8,8.5,6,0,-7.2,.1,.5,1.3,2.1,3.9,6.4,9.3,14,16.1,,.2,.2,
108,1998-01-09,2.1,-1.7,827,6.1,1340,,,,,,,5.4,230,1427,4.2,250,1451,1,832,-2.4,49,1333,73.1,5.1,1014.1,1026.8,2320,1021.5,0,1024.9,9.7,4.4,1200,1.26,5.8,,,,,,3.5,3.5,.1,-8.3,.1,.7,1.3,2.1,3.9,6.1,9,14,16.1,,.9,,
108,1998-01-10,3.2,.7,220,7,1500,,,,,,,4,70,1547,2.3,70,1610,1.3,1080,-.6,60,1333,76.6,5.9,1014.2,1027.2,210,1023.3,2400,1025.2,9.7,1.8,1200,.98,4.61,,,,,,6.5,5.3,1.5,-6,.6,1.1,1.6,2.3,4,6.2,9,13.8,15.9,,.6,,
108,1998-01-11,4.1,2.2,2400,7.3,1430,.67,,,,,0,8,90,1050,4.2,90,1130,3,2557,-3.2,44,1420,59.8,4.9,1010.4,1023.9,300,1018.5,1618,1021.2,9.8,3.6,1200,1.13,5.33,,,,,,8.5,6,2.4,-3.5,2.3,2.3,2.3,2.8,4.1,6.1,9,13.8,16,,1.5,.6,
108,1998-01-12,1.4,.5,800,3.7,1550,8.4,,,,,.6,5.1,320,1437,4.3,340,1452,1.4,1182,-1.7,63,1720,80.4,5.4,1012.9,1027.1,2400,1021.3,134,1023.8,9.8,.4,1500,.51,2.35,.7,930,.7,930,.7,6,3.6,1.2,-8.1,1.9,2.4,2.7,3.3,4.4,6.1,8.9,13.5,16,,.8,0,
108,1998-01-13,1.2,-1.4,720,5.3,1456,,,,,,,4.6,290,1459,3.7,290,1607,.8,689,-3.2,49,1534,73.8,4.8,1016.7,1029.6,1005,1026.5,1454,1027.8,9.8,4.9,1300,1.03,5.71,,,,,,3.3,.8,.5,-8.3,.9,1.6,2.2,3,4.2,6,8.9,13.5,16,,.9,,
108,1998-01-14,2.6,-2.4,710,7,1535,,,,,,,13,90,2216,6,90,2250,2.5,2139,-6,35,1252,54.1,3.9,1013.5,1028.1,247,1020.5,2300,1024.4,9.8,4.7,1200,1.05,5.6,,,,,,6,3,.3,-9.9,.5,1.3,2,2.7,4,6,8.9,13.4,15.8,,.8,,
108,1998-01-15,1.8,.1,2400,4.9,1523,,,,,,,15.8,90,240,7,90,302,4.4,3795,-9.4,35,1532,43.4,3,1007.7,1021.3,2400,1016.6,1500,1018.5,9.8,1.5,1200,.89,4.57,,,,,,7.9,5.6,1.6,-5.4,1.5,1.8,2.2,2.7,4,6,8.6,13.5,15.8,,2,,
108,1998-01-16,1.6,-2.2,505,6.3,1438,,,,,,,6.3,70,239,3.3,70,941,1.9,1678,-7.1,37,1530,52.1,3.6,1012.4,1025.7,1058,1021.2,537,1023.3,9.9,7.8,1200,1.57,8.44,,,,,,.8,.8,1.3,-8.3,1.3,1.6,2.2,2.8,3.9,5.9,8.6,13.5,15.8,,1.5,,
108,1998-01-17,3.2,.8,2327,6.9,1321,6.88,,,,,.4,6.6,340,1914,4.5,340,1930,1.9,1683,-3.5,47,1250,62.9,4.8,1009.7,1024.5,310,1017,2400,1020.5,9.9,2,1200,1.02,4.24,,,,,,9,7.1,2,-5.5,2.2,2.3,2.4,2.9,4,6,8.6,13.5,15.7,,.5,.4,
108,1998-01-18,-7.1,-11.5,2400,1,0,,,,,,,13.7,320,1512,7.3,320,1612,5.2,4483,-15.7,24,1523,51.1,1.9,1009.1,1023.5,2400,1016.6,200,1020.4,9.9,7.6,1300,1.72,9.69,,,,,,1.9,1.9,-2.5,-14.6,.4,1.6,2.3,3,4,5.7,8.5,13.3,15.6,,1.7,,
108,1998-01-19,-9.9,-13.8,750,-6.2,1635,,,,,,,11.1,320,231,7.3,290,1432,3.6,3075,-19.4,37,1423,46.5,1.4,1015,1028.1,1000,1023.5,0,1026.4,9.9,8.4,1200,1.69,9.71,,,,,,.4,.3,-7.1,-18,-3.5,-.2,1.1,2.1,3.5,5.9,8.4,13,15.6,,1.3,1.5,
